,0,1,2,3,4,5,6
0,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1709413961-lanccedilamento-inspire-ibirapuera-_JM#position=1&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,356.186,INSPIRE IBIRAPUERA,"Vila Mariana, São Paulo Zona Sul, São Paulo",25 - 51 m² construídos,1 - 2 dorms.
1,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1695117382-apartamento-com-3-dormitorios-venda-84-m-por-r-80000000-vila-mariana-so-paulosp-ap10684-_JM#position=2&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,800.000,"Apartamento Com 3 Dormitórios À Venda, 84 M² Por R$ 800.000,00 - Vila Mariana - São Paulo/sp - Ap10684","Vila Mariana, São Paulo Zona Sul, São Paulo",84 m² construídos,3 quartos
2,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1695124540-apartamento-duplex-com-4-dormitorios-venda-283-m-por-r-290000000-jardim-vila-mariana-so-paulosp-ad0023-_JM#position=3&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,2.900.000,"Apartamento Duplex Com 4 Dormitórios À Venda, 283 M² Por R$ 2.900.000,00 - Jardim Vila Mariana - São Paulo/sp - Ad0023","Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",283 m² construídos,4 quartos
3,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1293022609-apartamento-residencial-venda-chacara-klabin-so-paulo-ap1179-_JM#position=4&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,1.200.000,"Apartamento Residencial À Venda, Chácara Klabin, São Paulo. - Ap1179","Rua Domingos Augusto Setti, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",111 m² construídos,1 quarto
4,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1440067132-apartamento-venda-4-quartos-2-vagas-jardim-vila-mariana-so-paulosp-1529-_JM#position=5&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,1.100.000,"Apartamento À Venda, 4 Quartos, 2 Vagas, Jardim Vila Mariana - São Paulo/sp - 1529","Rua Petrarca, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",147 m² construídos,4 quartos
5,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1569941306-apartamento-com-3-dormitorios-71-m-venda-por-r-58000000-ou-aluguel-por-r-210000ms-vila-mariana-so-paulosp-ap0112-_JM#position=6&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,580.000,"Apartamento Com 3 Dormitórios, 71 M² - Venda Por R$ 580.000,00 Ou Aluguel Por R$ 2.100,00/mês - Vila Mariana - São Paulo/sp - Ap0112","Vila Mariana, São Paulo Zona Sul, São Paulo",71 m² construídos,3 quartos
6,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1839271288-apartamento-vila-mariana-ref-30-v-ap0030-_JM#position=7&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,2.490.000,Apartamento - Vila Mariana - Ref: 30 - V-ap0030,"Engenheiro Luís Gomes Cardim Sangirardi, Vila Mariana, São Paulo Zona Sul, São Paulo",254 m² construídos,4 quartos
7,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1896737013-studio-axis-vila-mariana-49m-1-suite-lav-1-vaga-proximo-ao-metr-ap00052-69350780-_JM#position=8&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,704.698,"Studio, Axis Vila Mariana, 49m², 1 Suíte, Lav, 1 Vaga! Próximo Ao Metrô! - Ap00052 - 69350780","Mirandópolis, São Paulo Zona Sul, São Paulo",49 m² construídos,1 quarto
8,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1899589289-apartamento-com-2-dormitorios-50-m-venda-por-r-690000-ou-aluguel-por-r-2800ms-vila-mariana-so-paulosp-ap1666-_JM#position=9&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,690.000,"Apartamento Com 2 Dormitórios, 50 M² - Venda Por R$ 690.000 Ou Aluguel Por R$ 2.800/mês - Vila Mariana - São Paulo/sp - Ap1666","Rua Jorge Tibiriçá, Vila Mariana, São Paulo Zona Sul, São Paulo",50 m² construídos,2 quartos
9,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1857650572-apartamento-na-vila-mariana-com-33m-disponivel-venda-sf33652-_JM#position=10&search_layout=grid&type=item&tracking_id=d8f2d375-1c3e-4030-91f4-f3291b2e6b32,480.000,Apartamento Na Vila Mariana Com 33m² Disponível À Venda. - Sf33652,"R Marselhesa, Vila Mariana, São Paulo Zona Sul, São Paulo",33 m² construídos,1 quarto
